FCST_TIME,FOR_TIME,ACCOUNT,DESK_FCST
2025-02-03 15:00:00,2025-02-04 07:00:00,AGT_GBP_BARC,150319471.23813033
2025-02-03 16:00:00,2025-02-04 08:00:00,AGT_GBP_BARC,148802138.8544053
2025-02-03 17:00:00,2025-02-04 09:00:00,AGT_GBP_BARC,147095891.64505535
2025-02-03 18:00:00,2025-02-04 10:00:00,AGT_GBP_BARC,144895411.01790524
2025-02-04 07:00:00,2025-02-04 11:00:00,AGT_GBP_BARC,142647767.7608584
2025-02-04 08:00:00,2025-02-04 12:00:00,AGT_GBP_BARC,143181676.68227986
2025-02-04 09:00:00,2025-02-04 13:00:00,AGT_GBP_BARC,144729737.88462728
2025-02-04 10:00:00,2025-02-04 14:00:00,AGT_GBP_BARC,147181157.74713305
2025-02-04 11:00:00,2025-02-04 15:00:00,AGT_GBP_BARC,150287843.51726398
2025-02-04 12:00:00,2025-02-04 16:00:00,AGT_GBP_BARC,153522114.63335007
2025-02-04 13:00:00,2025-02-04 17:00:00,AGT_GBP_BARC,154807154.05695742
2025-02-04 14:00:00,2025-02-04 18:00:00,AGT_GBP_BARC,155246450.55667606
2025-02-04 15:00:00,2025-02-05 07:00:00,AGT_GBP_BARC,154425131.42315602
2025-02-04 16:00:00,2025-02-05 08:00:00,AGT_GBP_BARC,154543144.7654841
2025-02-04 17:00:00,2025-02-05 09:00:00,AGT_GBP_BARC,151365240.4083168
2025-02-04 18:00:00,2025-02-05 10:00:00,AGT_GBP_BARC,147874999.13592932
2025-02-05 07:00:00,2025-02-05 11:00:00,AGT_GBP_BARC,145137702.0855359
2025-02-05 08:00:00,2025-02-05 12:00:00,AGT_GBP_BARC,145140340.30805096
2025-02-05 09:00:00,2025-02-05 13:00:00,AGT_GBP_BARC,145505371.11319092
2025-02-05 10:00:00,2025-02-05 14:00:00,AGT_GBP_BARC,147078112.48812455
2025-02-05 11:00:00,2025-02-05 15:00:00,AGT_GBP_BARC,150515730.1096196
2025-02-05 12:00:00,2025-02-05 16:00:00,AGT_GBP_BARC,152870903.36965546
2025-02-05 13:00:00,2025-02-05 17:00:00,AGT_GBP_BARC,154227356.12243795
2025-02-05 14:00:00,2025-02-05 18:00:00,AGT_GBP_BARC,153113738.72782242
2025-02-05 15:00:00,2025-02-06 07:00:00,AGT_GBP_BARC,152498006.54045627
2025-02-05 16:00:00,2025-02-06 08:00:00,AGT_GBP_BARC,151376609.93732706
2025-02-05 17:00:00,2025-02-06 09:00:00,AGT_GBP_BARC,149123575.68018785
2025-02-05 18:00:00,2025-02-06 10:00:00,AGT_GBP_BARC,145099691.20819995
2025-02-06 07:00:00,2025-02-06 11:00:00,AGT_GBP_BARC,142713258.42920327
2025-02-06 08:00:00,2025-02-06 12:00:00,AGT_GBP_BARC,142322104.58256373
2025-02-06 09:00:00,2025-02-06 13:00:00,AGT_GBP_BARC,142229141.6985443
2025-02-06 10:00:00,2025-02-06 14:00:00,AGT_GBP_BARC,144639583.54523873
2025-02-06 11:00:00,2025-02-06 15:00:00,AGT_GBP_BARC,147815806.7859254
2025-02-06 12:00:00,2025-02-06 16:00:00,AGT_GBP_BARC,148728667.37570864
2025-02-06 13:00:00,2025-02-06 17:00:00,AGT_GBP_BARC,149065911.02816105
2025-02-06 14:00:00,2025-02-06 18:00:00,AGT_GBP_BARC,149737912.95685148
2025-02-06 15:00:00,2025-02-07 07:00:00,AGT_GBP_BARC,150511151.64036164
2025-02-06 16:00:00,2025-02-07 08:00:00,AGT_GBP_BARC,149791176.82405576
2025-02-06 17:00:00,2025-02-07 09:00:00,AGT_GBP_BARC,146490045.04666182
2025-02-06 18:00:00,2025-02-07 10:00:00,AGT_GBP_BARC,144402324.1542089
2025-02-07 07:00:00,2025-02-07 11:00:00,AGT_GBP_BARC,143683499.59514993
2025-02-07 08:00:00,2025-02-07 12:00:00,AGT_GBP_BARC,143241416.58665302
2025-02-07 09:00:00,2025-02-07 13:00:00,AGT_GBP_BARC,143013124.59025028
2025-02-07 10:00:00,2025-02-07 14:00:00,AGT_GBP_BARC,144972400.74307123
2025-02-07 11:00:00,2025-02-07 15:00:00,AGT_GBP_BARC,147776378.34658507
2025-02-07 12:00:00,2025-02-07 16:00:00,AGT_GBP_BARC,150411036.42679012
2025-02-07 13:00:00,2025-02-07 17:00:00,AGT_GBP_BARC,149868617.53712976
2025-02-07 14:00:00,2025-02-07 18:00:00,AGT_GBP_BARC,150856244.4614659
2025-02-07 15:00:00,2025-02-10 07:00:00,AGT_GBP_BARC,150861738.97133583
