TRADE_TS,VALUE_DATE,BUY_CCY,BUY_AMT,SELL_CCY,SELL_AMT,BUY_ACCT,SELL_ACCT,TRADE_ID,CANCELLED_TS
2025-05-27 07:29:48,2025-05-28,EUR,72448.09770921545,USD,66652.24989247821,NOS_EUR_DB,NOS_USD_CITI,FX644068,
2025-06-09 09:32:29,2025-06-10,USD,462560.3952808392,GBP,425555.56365837203,NOS_USD_CITI,AGT_GBP_BARC,FX716202,
2025-05-28 15:18:28,2025-05-29,USD,240685.8211783424,EUR,221430.955484075,NOS_USD_CITI,NOS_EUR_DB,FX656778,
2025-06-17 08:51:34,2025-06-18,USD,2822199.8192362785,EUR,2596423.8336973763,NOS_USD_CITI,CB_EUR_ECB,FX763075,2025-06-17 12:51:34
2025-05-08 07:12:50,2025-05-09,USD,271840.82343505323,GBP,250093.55756024897,NOS_USD_CITI,AGT_GBP_BARC,FX542027,
2025-02-05 17:04:39,2025-02-06,USD,3572987.2170019224,EUR,3287148.239641769,AGT_USD_JPM,NOS_EUR_DB,FX29722,
2025-04-14 08:25:10,2025-04-15,USD,87125.15350742158,GBP,80155.14122682785,NOS_USD_CITI,NOS_GBP_HSBC,FX401037,
2025-06-09 14:50:08,2025-06-10,USD,1041150.3243396028,EUR,957858.2983924346,CB_USD_FED,NOS_EUR_DB,FX719494,
2025-04-27 10:20:52,2025-04-28,EUR,1199347.730195791,USD,1103399.9117801278,NOS_EUR_DB,AGT_USD_JPM,FX473127,
2025-05-25 10:44:37,2025-05-26,USD,5299778.611380763,EUR,4875796.322470303,CB_USD_FED,NOS_EUR_DB,FX630639,
2025-05-01 18:59:37,2025-05-02,GBP,473733.1439803603,USD,435834.4924619315,AGT_GBP_BARC,NOS_USD_CITI,FX510496,
2025-07-15 16:57:08,2025-07-16,USD,144742.25836546166,EUR,133162.87769622472,NOS_USD_CITI,NOS_EUR_DB,FX925391,2025-07-15 20:57:08
2025-03-13 09:14:43,2025-03-14,USD,19041.19977739961,GBP,17517.903795207643,NOS_USD_CITI,AGT_GBP_BARC,FX228399,
2025-07-20 17:07:54,2025-07-21,USD,20804.503198698258,GBP,19140.1429428024,NOS_USD_CITI,AGT_GBP_BARC,FX948833,
2025-02-16 18:14:54,2025-02-17,EUR,1893599.5966363843,USD,1742111.6289054735,CB_EUR_ECB,NOS_USD_CITI,FX84907,
2025-02-10 15:15:44,2025-02-11,EUR,36636.15590642036,USD,33705.26343390674,NOS_EUR_DB,AGT_USD_JPM,FX51745,
2025-03-03 08:24:39,2025-03-04,EUR,79919.83188241156,USD,73526.24533181863,NOS_EUR_DB,NOS_USD_CITI,FX164774,
2025-06-30 16:30:36,2025-07-01,GBP,41780.93476866359,USD,38438.4599871705,NOS_GBP_HSBC,NOS_USD_CITI,FX838590,
2025-04-30 08:45:29,2025-05-01,USD,22734.768553456124,GBP,20915.987069179635,NOS_USD_CITI,AGT_GBP_BARC,FX495702,
2025-03-27 09:04:51,2025-03-28,USD,86994.05234437606,GBP,80034.52815682598,NOS_USD_CITI,AGT_GBP_BARC,FX306941,
2025-07-28 16:51:58,2025-07-29,USD,553830.4857154381,EUR,509524.04685820313,CB_USD_FED,NOS_EUR_DB,FX995911,2025-07-28 20:51:58
2025-03-03 11:16:23,2025-03-04,EUR,50830.88514535194,USD,46764.414333723784,NOS_EUR_DB,NOS_USD_CITI,FX166822,
2025-07-15 18:45:27,2025-07-16,USD,1555398.658377855,EUR,1430966.7657076267,CB_USD_FED,NOS_EUR_DB,FX926626,
2025-07-28 16:53:29,2025-07-29,EUR,619178.3029205772,USD,569644.0386869311,NOS_EUR_DB,AGT_USD_JPM,FX995930,
2025-07-13 07:34:59,2025-07-14,USD,6521.963285027319,EUR,6000.206222225134,NOS_USD_CITI,NOS_EUR_DB,FX903441,
2025-03-04 10:58:27,2025-03-05,EUR,884714.0024762073,USD,813936.8822781108,NOS_EUR_DB,AGT_USD_JPM,FX174597,
2025-03-11 07:43:24,2025-03-12,GBP,48306.97127089444,USD,44442.41356922289,NOS_GBP_HSBC,NOS_USD_CITI,FX211691,
2025-07-01 16:29:37,2025-07-02,USD,240685.62818678166,GBP,221430.77793183914,NOS_USD_CITI,AGT_GBP_BARC,FX846332,
2025-06-11 09:27:48,2025-06-12,USD,534832.3773175845,EUR,492045.78713217773,AGT_USD_JPM,NOS_EUR_DB,FX732006,
2025-06-03 16:03:30,2025-06-04,USD,1916246.2229425006,EUR,1762946.5251071006,AGT_USD_JPM,NOS_EUR_DB,FX688833,
2025-03-11 16:32:24,2025-03-12,EUR,2193350.4184671757,USD,2017882.3849898018,CB_EUR_ECB,NOS_USD_CITI,FX217446,
2025-04-07 13:52:00,2025-04-08,USD,271958.6830358454,GBP,250201.98839297777,NOS_USD_CITI,AGT_GBP_BARC,FX365096,
2025-05-14 09:47:21,2025-05-15,EUR,457031.70806203596,USD,420469.1714170731,NOS_EUR_DB,AGT_USD_JPM,FX574960,
2025-06-15 18:02:57,2025-06-16,USD,595082.8249244146,GBP,547476.1989304614,NOS_USD_CITI,AGT_GBP_BARC,FX753587,
2025-04-17 15:46:00,2025-04-18,USD,2691065.9392202813,EUR,2475780.664082659,AGT_USD_JPM,NOS_EUR_DB,FX429185,
2025-05-13 14:22:42,2025-05-14,USD,1151629.7134784467,EUR,1059499.336400171,CB_USD_FED,NOS_EUR_DB,FX569907,
2025-03-02 18:07:11,2025-03-03,GBP,66126.03086362334,USD,60835.94839453347,NOS_GBP_HSBC,NOS_USD_CITI,FX163355,
2025-05-21 08:29:16,2025-05-22,GBP,63098.01677425069,USD,58050.175432310636,NOS_GBP_HSBC,NOS_USD_CITI,FX613217,
2025-06-19 08:51:19,2025-06-20,GBP,10024.436823357704,USD,9222.481877489088,NOS_GBP_HSBC,NOS_USD_CITI,FX778724,
2025-05-04 15:52:59,2025-05-05,EUR,847887.1440068978,USD,780056.172486346,NOS_EUR_DB,AGT_USD_JPM,FX516221,
2025-07-16 11:47:27,2025-07-17,USD,1155265.913457468,EUR,1062844.6403808706,CB_USD_FED,NOS_EUR_DB,FX930093,
2025-06-24 16:38:52,2025-06-25,USD,1084817.9296471835,EUR,998032.4952754088,AGT_USD_JPM,NOS_EUR_DB,FX807070,
2025-04-14 14:56:59,2025-04-15,GBP,12040.780463494884,USD,11077.518026415293,AGT_GBP_BARC,NOS_USD_CITI,FX405148,
2025-06-15 11:58:57,2025-06-16,EUR,223098.39090679702,USD,205250.51963425326,NOS_EUR_DB,NOS_USD_CITI,FX749665,
2025-03-24 10:43:09,2025-03-25,EUR,3347630.6213006657,USD,3079820.1715966123,CB_EUR_ECB,NOS_USD_CITI,FX284448,
2025-06-11 14:24:28,2025-06-12,USD,18176.041744258433,GBP,16721.95840471776,NOS_USD_CITI,AGT_GBP_BARC,FX735091,
2025-02-06 10:06:36,2025-02-07,GBP,26905.252430857152,USD,24752.83223638858,AGT_GBP_BARC,NOS_USD_CITI,FX33108,
2025-04-20 14:21:01,2025-04-21,USD,285556.23961303063,EUR,262711.7404439882,AGT_USD_JPM,NOS_EUR_DB,FX435959,
2025-03-11 13:35:34,2025-03-12,USD,37020.64191192825,GBP,34058.990558973994,NOS_USD_CITI,AGT_GBP_BARC,FX215474,
