BOOKING_TS,LEDGER_ACCT,AMT,DR_CR,VALUE_DT,PRODUCT,RAIL,CPTY_BIC,REF
2025-02-03 07:00:04,LGR-CB_USD_FED,2881645.9714394966,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB0
2025-02-03 07:00:07,LGR-AGT_USD_JPM,1610440.9406209046,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB1
2025-02-03 07:00:07,LGR-NOS_USD_CITI,179883.62172524107,D,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB2
2025-02-03 07:00:14,LGR-NOS_EUR_DB,36841.00399510903,C,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB3
2025-02-03 07:00:22,LGR-CB_EUR_ECB,1944272.1095767217,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB4
2025-02-03 07:00:32,LGR-NOS_EUR_DB,36538.17491803768,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB5
2025-02-03 07:00:39,LGR-NOS_GBP_HSBC,142360.99767576027,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB6
2025-02-03 07:00:44,LGR-NOS_GBP_HSBC,30257.934006913936,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB7
2025-02-03 07:00:49,LGR-NOS_USD_CITI,30662.022954523425,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB8
2025-02-03 07:00:51,LGR-AGT_GBP_BARC,13458.025896590574,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB9
2025-02-03 07:00:53,LGR-NOS_USD_CITI,124136.04612709195,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB10
2025-02-03 07:01:00,LGR-AGT_GBP_BARC,121869.18242757191,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB11
2025-02-03 07:01:05,LGR-AGT_GBP_BARC,237618.41141470897,D,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB12
2025-02-03 07:01:35,LGR-NOS_EUR_DB,8296.904661869889,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB13
2025-02-03 07:01:37,LGR-AGT_USD_JPM,849795.774727454,C,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB14
2025-02-03 07:01:44,LGR-AGT_GBP_BARC,328738.38655147405,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB15
2025-02-03 07:01:46,LGR-NOS_EUR_DB,204540.0083181968,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB16
2025-02-03 07:01:49,LGR-AGT_USD_JPM,451347.6961442282,C,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB17
2025-02-03 07:01:49,LGR-AGT_GBP_BARC,628477.6157890081,C,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB18
2025-02-03 07:01:49,LGR-CB_USD_FED,7974436.737860297,D,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB19
2025-02-03 07:01:52,LGR-AGT_USD_JPM,1310719.355056777,D,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB20
2025-02-03 07:01:58,LGR-AGT_USD_JPM,184462.39207215892,C,2025-02-03,ACH,ACH,CPTYXXXX,HUB21
2025-02-03 07:02:06,LGR-NOS_EUR_DB,68030.57574257288,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB22
2025-02-03 07:02:07,LGR-AGT_GBP_BARC,358276.98423513264,C,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB23
2025-02-03 07:02:16,LGR-CB_USD_FED,15887352.77959897,C,2025-02-03,FX_SETTLE,ACH,CPTYXXXX,HUB24
2025-02-03 07:02:17,LGR-NOS_GBP_HSBC,18068.156295936802,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB25
2025-02-03 07:02:21,LGR-CB_EUR_ECB,1971683.4725055248,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB26
2025-02-03 07:02:25,LGR-CB_EUR_ECB,1708457.9135897167,C,2025-02-03,WIRE,FEDWIRE,CPTYXXXX,HUB27
2025-02-03 07:02:26,LGR-NOS_EUR_DB,83329.8725640553,D,2025-02-03,ACH,ACH,CPTYXXXX,HUB28
2025-02-03 07:02:31,LGR-NOS_EUR_DB,149785.9815389513,D,2025-02-03,SWEEP,ACH,CPTYXXXX,HUB29
